sms_id,masked_celphone_number,text,intent,source,original_sms_id
ORIG_00039,N/A,"Friday fun is here! Enjoy 6,888p + 6,888p at GJP PH's Payday Blast. New members get 3000p at GJSlots.de . Don't wait, join now!",Gambling Scam,original,
ORIG_00040,N/A,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: joypod.de,Gambling Scam,original,
ORIG_00041,N/A,100 pesos mo gawin nating 200!  Copy this to browser [ kklfph.fyi ] to get!,Investment Scam,original,
ORIG_00042,N/A,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: boxlid.de,Gambling Scam,original,
ORIG_00043,N/A,Congrats VIP! You've won 300% First Deposit Bonus and FREE100 FBS Bonus! Claim now before its gone! Contact Customer Service to seize your luck! pnlkawon.de !,Prize Scam,original,
ORIG_00044,N/A,"Ikaw ang maswerteng
Makatanggap ng P555 na 
bonus >>> tssccc.pgwinwin.ca",Gambling Scam,original,
ORIG_00045,N/A,Claim your b0nus! Magl0g-in at kunin ang 100 pes0s ngayon! Pumunta sa link na to { kklfph.fyi },Prize Scam,original,
ORIG_00046,N/A,"Elevate your status! Join Sbet VIP for up to 88,888p Bonus! New members score 3,000p Welcome Bonus + daily rewards! Sign up at SBCash.de !",Gambling Scam,original,
ORIG_00047,N/A,"July is here! Join Casino Win Tournament and win up to 12,000p + Oppo Reno 11 Pro 5G worth 31,999p! Get daily rebate 0.6% at Winplaysuper.de . Sign up now!",Gambling Scam,original,
ORIG_00048,N/A,Nanalo ang number mo ng P2874! Mag-register gamit ang number na ito upang makuha and premyo. Sumali dito: antfig.de,Prize Scam,original,
ORIG_00049,N/A,"100% first deposit bonus,57 bonus for inviting friends, 18-88 bonus for download APP.What are you waiting for : 38.11.89.106",Gambling Scam,original,
ORIG_00050,N/A,Saturday Storm at WPlusGame.de ! Grab your 999p Bonus + up to 100% first deposit bonus + 588p. Don't miss the fun!,Gambling Scam,original,
ORIG_00051,N/A,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: nowjam.de,Gambling Scam,original,
ORIG_00052,N/A,Subukan ang saya at kunin ang 100% Welcome Bonus + 50% Live Casino Bonus sa EpicWPlay.de hanggang 3000 pesos! Sumali na ngayon!,Gambling Scam,original,
ORIG_00053,N/A,"Get ready for the ultimate GJP PH T.G.I.F Event today! Win 6,888p & up to 12,000p in Bet Tournament! Grab an Oppo Reno 11 Pro in our Tourna! Gojpcards.de",Gambling Scam,original,
ORIG_00054,N/A,"We have received your interest in applying for a Credit Card with NO ANNUAL FEE FOR LIFE

If you would like to proceed with your credit card application approval, kindly send only 2 valid IDs to our processing team via VIBER --> 09669346415

Once we receive your IDs, please wait for our verification call.",Bank Scam,original,
ORIG_00055,N/A,"Ikaw ang maswerteng
Makatanggap ng P888 na 
bonus >>> supervvvip.ca",Prize Scam,original,
ORIG_00056,N/A,Nalagay na sa iyong number ang P2500. Sumali gamit ang number na ito at maglagay ng P50 upang makuha: hnvb.uk,Gambling Scam,original,
ORIG_00057,N/A,100k Jackp0t na naman! Ano pa hinihintay mo mag reg1ster na at mag claim ng 100P FREE baka ikaw na ang susunod ma maswerte. ODQZZ.eu,Gambling Scam,original,
ORIG_00058,N/A,"Don't miss out on your chance to win big! Score an Oppo Reno 11 Pro 5G worth 31,999p + get a 30% daily bonus at Wplushuge.de! Join the excitement now!",Gambling Scam,original,
ORIG_00059,N/A,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa ycx43ew7rt.uk,Gambling Scam,original,
ORIG_00060,N/A,"Dear User,

Your GCash account has received P13,000 from GCash Support.

Redeem here: claimpeso.de/?claimid=37

Thank you for choosing us!",Prize Scam,original,
ORIG_00061,N/A,Free 3000p & win VIVO V30e 256GB! Don't miss the Slot Tournament! sbetgift.eu,Raffle Scam,original,
ORIG_00062,N/A,Ikaw ang maswerteng Makatanggap ng P555 na  bonus >>>  yg54yt7r7y.uk,Prize Scam,original,
ORIG_00063,N/A,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: cxlk.uk,Prize Scam,original,
ORIG_00064,N/A,"Winning Plus Tuesday Slots: Win Oppo Reno 11 Pro 5G + 512GB worth 31,999p + 30% daily bonus. Register now at Wplayace.de .",Raffle Scam,original,
ORIG_00065,N/A,May P6140 na natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Maglagay ng P50 upang maclaim sa aming 24/7 CS: mwjt.uk,Prize Scam,original,
ORIG_00066,N/A,"Daily Lucky Wheel at   Gojpluswild.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Grab your chance to win big!",Raffle Scam,original,
ORIG_00067,N/A,"Spin the Daily Lucky Wheel at Gojplaywildph.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Sign up now!",Raffle Scam,original,
ORIG_00068,N/A,May P6140 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: phee.so,Prize Scam,original,
ORIG_00069,N/A,Sa tuwing tumataya ako sa lvv65a118l.uk nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Investment Scam,original,
ORIG_00070,N/A,Celebrate GCash 10th Anniversary! Get a P1000 Top-up Voucher for only P399! Visit gcash-10-year.lc/G and join the fun! Offer ends July 31. Don t miss out!,Bank Scam,original,
ORIG_00071,N/A,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: zaqw.de,Prize Scam,original,
ORIG_00072,N/A,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk,Investment Scam,original,
ORIG_00073,N/A,WinningPlus T.G.I.S blast! Grab a 6888p Bonus! New members enjoy a Special Offer of 999p + Free 588p! Join now at  Wplaymegaph.de,Gambling Scam,original,
ORIG_00074,N/A,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: iopq.de,Prize Scam,original,
ORIG_00075,N/A,"Experience Friday Fever at GJPrefferal.de! Score a 6,888p Bonus and enter to win the VIVO V30 PRO 5G. Celebrate your Friday with a win!",Gambling Scam,original,
ORIG_00076,N/A,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: cxbz.de,Prize Scam,original,
ORIG_00077,N/A,"Greetings from BDO, as part of our continuous effort to bring you the best online banking services, we request that you verify your account information to continually access mobile banking and receive an OTP. Proceed to online.mybdo-secure.tw . Failure to do so will result in an account suspension.",Bank Scam,original,
ORIG_00078,N/A,Claim 3000P FREE + stand a chance to win the VIVO V30e 256GB! Join the Slot Tournament now for your chance to win fantastic prizes! sbetcoinph.eu,Gambling Scam,original,
ORIG_00079,N/A,"[BDO Unibank]

Hello,

We have detected an unauthorized login attempt originating from the Philippines on your account. Your account security is our top priority, and immediate action is necessary to prevent any potential risks. Thank you for your swift response to this security alert.

visit here: t.co/IcEHUSej6K",Bank Scam,original,
ORIG_00080,N/A,"Gcash. 

Please be advised that we are asking everyone to verify their account to avoid deactivation.

Verify here: qrqr.ai/GcashHelpCenter",Bank Scam,original,
ORIG_00081,N/A,"Sign up for a random free reward,up to P1688,minimum P22,no strings attached,Act Now!

auvip.eu

Get another P188 for downloading the app!",Prize Scam,original,
ORIG_00082,N/A,Sumali sa Spins Round Challenge! May chance kang mag-uwi ng Brand New Yamaha Mio Gravis! Bisitahin ang spinsfun.eu para sa mga detalye ng bonus!,Gambling Scam,original,
ORIG_00083,N/A,Ikaw ang maswerteng Makatanggap ng P555 na  bonus >>>  lvv65a118l.uk/?bmn7v6fyt,Prize Scam,original,
ORIG_00084,N/A,WinningPlus is your key to a Honda Click 125i V3! Get up to 100% bonus and 588p + 388p bonus as a new member. Sign up at Wplusmegaph.de today!,Gambling Scam,original,
ORIG_00085,N/A,"BDO Online | System Advisory 

Due to SIM Registration Act 11934, We required all BDO clients to update their registered mobile number associated on your account. please visit here: online.mybdo-service.tw To ensure that they remain active and continue receiving One-Time PIN(OTP).",Bank Scam,original,
ORIG_00086,N/A,"GJP Monday Adventure! Win a Xiaomi 14 in our Bet Tournament 

Gojpsuper.de

 New player special: 130% bonus + 1,000P! Join now and let the winning begin!",Gambling Scam,original,
ORIG_00087,N/A,Sa tuwing tumataya ako sa lvv65a118l.uk/?9as7fkg8fs nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Gambling Scam,original,
ORIG_00088,N/A,lucky7charm.uk <<< Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Gambling Scam,original,
ORIG_00089,N/A,winner4bonus.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P50 upang makuha ang panalo!,Gambling Scam,original,
ORIG_00090,N/A,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: centre.is/Glife to continue using our services",Bank Scam,original,
ORIG_00091,N/A,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk/?098ccv5ss,Gambling Scam,original,
ORIG_00093,N/A,Kaya mo bang manalo sa Spins Rounds Challenge? Ito ang iyong pagkakataon para makamit ang bagong Yamaha Mio Gravis! Tuklasin ang mga premyo sa spswins.eu !,Gambling Scam,original,
ORIG_00094,N/A,"Electrifying weekend ahead! Enjoy 10% Jili + 12% Daily Bonus on SBET! Win smartphone worth 16,499 and get 3000 new member bonus at sbetcock.eu. Explore now!",Gambling Scam,original,
ORIG_00095,N/A,Become a VIP affiliate with SpinsPh and earn lucrative commissi0ns! Join our team and start earning today! spnsph.nl,Investment Scam,original,
ORIG_00096,N/A,phvegas.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P100 upang makuha ang panalo!,Gambling Scam,original,
ORIG_00098,N/A,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk/?6fg5dds,Gambling Scam,original,
ORIG_00099,N/A,phcasino.uk << Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Gambling Scam,original,
ORIG_00100,N/A,"Saya-saya, may kasamang bonus! Kumita ng hanggang 3000 pesos! Kuha ng 100% Welcome Bonus + 50% Live Casino Bonus sa epluckwin.de  !",Gambling Scam,original,
ORIG_00101,N/A,"GG777 has free 1777 bonuses and super high discounts, come and join:a.f5sd1ab.ch",Gambling Scam,original,
ORIG_00102,N/A,"Join GJPwheel.eu and spin to win a Samsung Galaxy S23+ 5G! Plus, get a 130% bonus up to P1000!",Gambling Scam,original,
ORIG_00103,N/A,phprize.uk << Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Prize Scam,original,
ORIG_00104,N/A,Venture into the depths of an underground cave with Samsung Galaxy S23+ 5G! Enjoy a 130% bonus up to P1000. Explore GoJPwild.eu and unearth precious rewards!,Prize Scam,original,
ORIG_00105,N/A,"Huwag magpahuli! Sumali na sa Rounds Challenge sa spnsmore.eu at manalo ng 100K Pesos, may LIBRENG BONUS pa!",Raffle Scam,original,
ORIG_00106,N/A,Na refund na sa iyong account ang P2160. Mag register at maglagay ng P100 upang makuha: vvgo.uk,Prize Scam,original,
ORIG_00107,N/A,"Social Security Plan
You are entitled to a lump sum benefit amount of P2,153 based on your total contribution in 2024, please apply at sssr.mx/7C",Government Spoofing,original,
ORIG_00108,N/A,"Celebrate TGIF with GJP! Grab a 6,888p + 1,000p bonus and spin to win a Samsung Galaxy S23+ 5G! Visit  gjpotnows.de now!",Gambling Scam,original,
ORIG_00109,N/A,"Experience the thrill at GJP's T.G.I.F event! Earn 6,888p + 1,000p bonus & spin for a Samsung Galaxy S23+ 5G. Visit gjpotfun.de now!",Gambling Scam,original,
ORIG_00110,N/A,"Kumuha ng libreng P167, mag-lagay lamang ng P102 upang makuha: claimcenter.uk",Prize Scam,original,
ORIG_00111,N/A,Sa tuwing tumataya ako sa l25aa4shui.uk/?20ssak1a nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Prize Scam,original,
ORIG_00112,N/A,"Mag-recharge para makakuha ng 100% reward. Kung mas marami kang recharge, mas marami kang makukuha. l8shj7177a.uk/?lis88a",Prize Scam,original,
ORIG_00113,N/A,"PH SOCIAL SECURITY SYSTEM
You can receive P1,351.5 from My.SSS in 2024. Please check and verify your employers payment record: sssc.mx/?D9F4H8Dmu5",Government Spoofing,original,
ORIG_00114,N/A,Sa tuwing tumataya ako sa l8shj7177a.uk/?akk890cn nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Prize Scam,original,
ORIG_00115,N/A,Super Welcome bonus hanggang 3000 pesos ang maaring makuhang libre sa 100% welcome bonus + 50% Live Casino Bonus ! website : EpicWinLuck.de,Gambling Scam,original,
ORIG_00116,N/A,fg.ss777b.fo New member download to get P2268 FREE right now and contact our 24/7 service to get it,Prize Scam,original,
ORIG_00117,N/A,"Hi,<REAL NAME>! Gusto mo ba ng 18-888 raffle ticket? Mag-register na sa goo-d.eu/4f4a at simulan ang saya!",Prize Scam,original,
ORIG_00118,N/A,Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la,Delivery Scam,original,
ORIG_00119,N/A,"Hello,<REAL NAME>! Ang swerte mo talaga! Nakuha mo ang 18-888 raffle ticket! Pindutin na: ga-me.eu/gzzr para kunin ang bonus mo!",Raffle Scam,original,
ORIG_00120,N/A,"Hi,<REAL NAME>! Gusto mo ba ng 18-888 raffle ticket? Mag-register na sa goo-d.eu/biwm at simulan ang saya!",Raffle Scam,original,
ORIG_00121,N/A,"Hey,<REAL NAME>! Good news! Nakuha mo ang 18-888 raffle ticket! Pindutin dito: goo-d.eu/ucuj para sa bonus mo!",Raffle Scam,original,
ORIG_00122,N/A,Tracking Code (RR*197PH) The courier arrived 1 days ago but delivery failed. Please visit pw29b.cn and we will reschedule the delivery after your validate.,Delivery Scam,original,
ORIG_00123,N/A,"rrrbet.ss777b.fo App to get 18-88, 100 to get 77, and enjoy 10% discount for daily deposits",Investment Scam,original,
ORIG_00124,N/A,"App to get 18-88, 100 to get 77, and enjoy 10% discount for daily deposits                                                                                         fg777.ss777b.fo",Investment Scam,original,
ORIG_00125,N/A,"Hey,Good news,may 18+77+300 free para sa'yo! Punta na dito: mar-t.eu/n9mw !",Gambling Scam,original,
ORIG_00126,N/A,"Hi,Ready ka na ba? Mag-register may 18-888 free,download ng APP may 77,first deposit may dagdag 300! Tara na: mar-t.eu/ucup !",Gambling Scam,original,
ORIG_00127,N/A,"Hey,Alam mo ba? Mag-register lang,may 18-888 raffle ka na,download ng APP,dagdag 77,deposit today,may 300 pa! Bisitahin: mar-t.eu/gzfv !",Gambling Scam,original,
ORIG_00128,N/A,"ang galing! Mag-register ka lang,may 18-888,download ng APP,dagdag 77. First deposit? Boom,dagdag 300! Kunin na: mar-t.eu/biw8 !",Gambling Scam,original,
ORIG_00129,N/A,"Hi,Andito na ang reward mo! Sa tatlong simpleng hakbang,makakakuha ka ng 18+77+300. Tingnan dito: mar-t.eu/ertaz !",Prize Scam,original,
ORIG_00130,N/A,"Uy,Alam mo ba,may 18-888 raffle ticket ka at libreng 77 sa pag-download ng APP! Check mo dito: mar-t.eu/vrtv !",Raffle Scam,original,
ORIG_00131,N/A,"Hey,Gusto mo ba ng 18-888 raffle ticket? Mag-register at makuha mo 'yan agad! Punta na sa: mar-t.eu/uci2 !",Raffle Scam,original,
ORIG_00132,N/A,"Hi,May libreng 77 ka kapag nag-download ka ng APP! I-click na dito para simulan: mar-t.eu/gzxw !",Gambling Scam,original,
ORIG_00133,N/A,"Hey,May 18-888 raffle ticket,libreng 77 sa APP,at dagdag 300 sa deposit na 500! Mag-register na: mar-t.eu/2nh8 !",Raffle Scam,original,
ORIG_00134,N/A,"Hi,Gusto mo ba ng 18-888 raffle ticket,libreng 77 sa APP,at dagdag 300 sa deposit na 500? I-click dito: mar-t.eu/uciz !",Raffle Scam,original,
ORIG_00135,N/A,Na refund na sa iyong account ang P2020 at may pa bonus pang kalakip dahil sa abala na dinanas. Check mo na ang credit mo dali! Claim na:                          win996.fo,Loan Scam,original,
ORIG_00136,N/A,Congratulations on receiving a special invitation. Register to receive for free                                                                                    1.ss777b.fo,Gambling Scam,original,
ORIG_00137,N/A,"Wow,<REAL NAME>! Ang swerte mo naman! May 18-888 raffle ticket ka! Punta na dito: beeph.eu/ucuq para kunin ang bonus mo!",Raffle Scam,original,
ORIG_00138,N/A,"Hi,<REAL NAME>! Ang galing mo! May 18-888 raffle ticket ka! Click na dito: beeph.eu/n9m7 para makuha ang bonus mo!",Raffle Scam,original,
